"","id","Title","Artist","Peak","Date.Entered","Successful","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","uri","track_href","analysis_url","duration_ms","time_signature"
"1","00Mb3DuaIH1kjrwOku9CGU","Sk8er Boi","Avril Lavigne","10","9/14/02","1","0.487","0.9","0","-4.417","1","0.0482","1e-04","0","0.358","0.484","149.937","audio_features","spotify:track:00Mb3DuaIH1kjrwOku9CGU","https://api.spotify.com/v1/tracks/00Mb3DuaIH1kjrwOku9CGU","https://api.spotify.com/v1/audio-analysis/00Mb3DuaIH1kjrwOku9CGU","204000","4"
"2","01Aj44KIjCrPmZeXq4UOky","Emotion","Destiny's Child","10","9/29/01","1","0.412","0.577","7","-4.944","1","0.119","0.163","0","0.0969","0.35","173.675","audio_features","spotify:track:01Aj44KIjCrPmZeXq4UOky","https://api.spotify.com/v1/tracks/01Aj44KIjCrPmZeXq4UOky","https://api.spotify.com/v1/audio-analysis/01Aj44KIjCrPmZeXq4UOky","236400","4"
"3","01CnYyPXMFRzOFVQBU8WMb","This One's For The Girls","Martina McBride","39","8/9/03","0","0.613","0.801","8","-4.431","1","0.0354","0.0626","0","0.124","0.599","126.966","audio_features","spotify:track:01CnYyPXMFRzOFVQBU8WMb","https://api.spotify.com/v1/tracks/01CnYyPXMFRzOFVQBU8WMb","https://api.spotify.com/v1/audio-analysis/01CnYyPXMFRzOFVQBU8WMb","243160","4"
"4","01ITmYotdoow6gqRXv7oMo","Ain't It Funny","Jennifer Lopez","1","12/29/01","1","0.707","0.87","0","-4.533","0","0.0465","0.0691","3e-04","0.138","0.619","99.833","audio_features","spotify:track:01ITmYotdoow6gqRXv7oMo","https://api.spotify.com/v1/tracks/01ITmYotdoow6gqRXv7oMo","https://api.spotify.com/v1/audio-analysis/01ITmYotdoow6gqRXv7oMo","244831","4"
"5","02UnamzTn2rySwzcMkq5qx","I Melt","Rascal Flatts","34","8/23/03","0","0.556","0.712","9","-4.398","1","0.0346","0.207","0","0.318","0.172","140.031","audio_features","spotify:track:02UnamzTn2rySwzcMkq5qx","https://api.spotify.com/v1/tracks/02UnamzTn2rySwzcMkq5qx","https://api.spotify.com/v1/audio-analysis/02UnamzTn2rySwzcMkq5qx","234253","4"
"6","03B0yrE4zrioHjmY05l9xz","Make Her Feel Good","Teairra Mari","35","6/4/05","0","0.82","0.67","2","-9.422","1","0.197","0.0163","4e-04","0.189","0.546","90.522","audio_features","spotify:track:03B0yrE4zrioHjmY05l9xz","https://api.spotify.com/v1/tracks/03B0yrE4zrioHjmY05l9xz","https://api.spotify.com/v1/audio-analysis/03B0yrE4zrioHjmY05l9xz","226013","4"
"7","04GRz5WkRVmPSGuZFJnuma","Hate It Or Love It","Game, The","2","2/12/05","1","0.795","0.805","9","-4.434","1","0.19","0.123","0","0.133","0.45","100.008","audio_features","spotify:track:04GRz5WkRVmPSGuZFJnuma","https://api.spotify.com/v1/tracks/04GRz5WkRVmPSGuZFJnuma","https://api.spotify.com/v1/audio-analysis/04GRz5WkRVmPSGuZFJnuma","206440","4"
"8","04KTF78FFg8sOHC1BADqbY","Hot In Herre","Nelly","1","5/4/02","1","0.965","0.736","9","-5.005","0","0.144","0.218","0","0.0595","0.912","107.07","audio_features","spotify:track:04KTF78FFg8sOHC1BADqbY","https://api.spotify.com/v1/tracks/04KTF78FFg8sOHC1BADqbY","https://api.spotify.com/v1/audio-analysis/04KTF78FFg8sOHC1BADqbY","228227","4"
"9","05wbsMDvcaD56O4SnESOaJ","How To Deal","Frankie J.","39","5/28/05","0","0.749","0.495","2","-8.456","1","0.0332","0.0584","0","0.201","0.648","126.12","audio_features","spotify:track:05wbsMDvcaD56O4SnESOaJ","https://api.spotify.com/v1/tracks/05wbsMDvcaD56O4SnESOaJ","https://api.spotify.com/v1/audio-analysis/05wbsMDvcaD56O4SnESOaJ","230507","4"
"10","067sYyLu6IdRP5bCubdSfl","Rhythm Divine","Enrique Iglesias","32","12/4/99","0","0.634","0.969","0","-2.662","1","0.166","0.135","0","0.185","0.441","102.035","audio_features","spotify:track:067sYyLu6IdRP5bCubdSfl","https://api.spotify.com/v1/tracks/067sYyLu6IdRP5bCubdSfl","https://api.spotify.com/v1/audio-analysis/067sYyLu6IdRP5bCubdSfl","209467","4"
"11","06iMqWThw4w8fTFyccvOwr","Ride Wit Me","Nelly","3","2/24/01","1","0.854","0.692","7","-6.625","1","0.0479","0.0668","0","0.247","0.758","101.865","audio_features","spotify:track:06iMqWThw4w8fTFyccvOwr","https://api.spotify.com/v1/tracks/06iMqWThw4w8fTFyccvOwr","https://api.spotify.com/v1/audio-analysis/06iMqWThw4w8fTFyccvOwr","291782","4"
"12","06ySRvEnrUxZZ9ml3VO2TY","You're My Better Half","Keith Urban","33","12/4/04","0","0.655","0.747","4","-4.41","1","0.0333","0.0369","1.29e-06","0.0449","0.614","118.054","audio_features","spotify:track:06ySRvEnrUxZZ9ml3VO2TY","https://api.spotify.com/v1/tracks/06ySRvEnrUxZZ9ml3VO2TY","https://api.spotify.com/v1/audio-analysis/06ySRvEnrUxZZ9ml3VO2TY","239400","4"
"13","06ZDLodo1UDVavc3MXREZ3","Walked Outta Heaven","Jagged Edge","6","9/6/03","1","0.67","0.616","10","-6.123","1","0.225","0.573","0","0.0535","0.51","120.129","audio_features","spotify:track:06ZDLodo1UDVavc3MXREZ3","https://api.spotify.com/v1/tracks/06ZDLodo1UDVavc3MXREZ3","https://api.spotify.com/v1/audio-analysis/06ZDLodo1UDVavc3MXREZ3","270880","4"
"14","08GOEVXupC6ECbulhPGQKm","Stranger In My House","Tamia","10","1/13/01","1","0.676","0.601","0","-4.905","1","0.0297","0.103","0","0.147","0.217","119.94","audio_features","spotify:track:08GOEVXupC6ECbulhPGQKm","https://api.spotify.com/v1/tracks/08GOEVXupC6ECbulhPGQKm","https://api.spotify.com/v1/audio-analysis/08GOEVXupC6ECbulhPGQKm","285387","4"
"15","08Ty4imIKiJwamGWHuW0y8","START The Commotion","Wiseguys, The","31","8/4/01","0","0.688","0.979","1","-4.196","0","0.0491","4e-04","0.717","0.319","0.96","119.901","audio_features","spotify:track:08Ty4imIKiJwamGWHuW0y8","https://api.spotify.com/v1/tracks/08Ty4imIKiJwamGWHuW0y8","https://api.spotify.com/v1/audio-analysis/08Ty4imIKiJwamGWHuW0y8","225360","4"
"16","09RtW6BK033KbAGPRmM57W","Dirt Off Your Shoulder","Jay-Z","5","1/24/04","1","0.777","0.667","1","-6.603","1","0.323","0.0318","2.37e-06","0.27","0.704","163.912","audio_features","spotify:track:09RtW6BK033KbAGPRmM57W","https://api.spotify.com/v1/tracks/09RtW6BK033KbAGPRmM57W","https://api.spotify.com/v1/audio-analysis/09RtW6BK033KbAGPRmM57W","245733","4"
"17","0AcLrSfAEBQcUnHOTm5pXg","Get It On.. Tonite","Montell Jordan","4","10/23/99","1","0.806","0.494","10","-9.973","0","0.0786","0.278","0","0.0633","0.871","99.003","audio_features","spotify:track:0AcLrSfAEBQcUnHOTm5pXg","https://api.spotify.com/v1/tracks/0AcLrSfAEBQcUnHOTm5pXg","https://api.spotify.com/v1/audio-analysis/0AcLrSfAEBQcUnHOTm5pXg","277413","4"
"18","0ahRDzkKq0KEi7FRoHb0qk","U Already Know","112","32","3/5/05","0","0.677","0.525","7","-9.404","0","0.0483","0.224","0","0.172","0.925","87.042","audio_features","spotify:track:0ahRDzkKq0KEi7FRoHb0qk","https://api.spotify.com/v1/tracks/0ahRDzkKq0KEi7FRoHb0qk","https://api.spotify.com/v1/audio-analysis/0ahRDzkKq0KEi7FRoHb0qk","198880","4"
"19","0AKAxdNkwq9ZxRdW1DN9zW","Behind These Hazel Eyes","Kelly Clarkson","6","4/23/05","1","0.548","0.889","9","-4.682","1","0.0382","0.0016","0.0011","0.197","0.471","90.048","audio_features","spotify:track:0AKAxdNkwq9ZxRdW1DN9zW","https://api.spotify.com/v1/tracks/0AKAxdNkwq9ZxRdW1DN9zW","https://api.spotify.com/v1/audio-analysis/0AKAxdNkwq9ZxRdW1DN9zW","198973","4"
